Tranko Rank,Website,Network IP Address,State,GPP String,Section List,GPC Signal,Serialized Ping,Error
9010,https://nzz.ch/,156.146.39.29,Texas,DBABM~CQQLPkgQQLPkgAfA2BDEBmFsAP_gAEPgAAYgKPJR9G78TXlHODpzYbsEaYUX11hp4kQhAgCBI6IECDOQ8IQG1GECIAyAJCACABIAoBQBIAFEGAhEQUAAAIAFABBoSAAAAQAKIGAAAAERQkAQCAgJAAAgQAAAAABEAhAAgAAACBKIBIAAgIAAAyAAAAABAAAAAAIIAAAoABAAAAIAAAAAAAAAAAAAAAACAAAIEAAAAAAAAAAAAAAAAAAAACAAAAAAEEdgASDQqIIyiBAQgEBCCBACIKwgAoAAQAABAkQEABAgIcAIAKjCBAAAAAAAAAAAAQAAAgAAAAAQiACAAAEAAAAgUAAAAAAAEADAAAAAAoAAIAAQEAAAQIAAAAAAiAAgAQAAAAAgAAAAAAAAAAQAAAAAAAAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAAAAAAAAAECAA,[2],False,"{'data': {'applicableSections': [2], 'cmpDisplayStatus': None, 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CQQLPkgQQLPkgAfA2BDEBmFsAP_gAEPgAAYgKPJR9G78TXlHODpzYbsEaYUX11hp4kQhAgCBI6IECDOQ8IQG1GECIAyAJCACABIAoBQBIAFEGAhEQUAAAIAFABBoSAAAAQAKIGAAAAERQkAQCAgJAAAgQAAAAABEAhAAgAAACBKIBIAAgIAAAyAAAAABAAAAAAIIAAAoABAAAAIAAAAAAAAAAAAAAAACAAAIEAAAAAAAAAAAAAAAAAAAACAAAAAAEEdgASDQqIIyiBAQgEBCCBACIKwgAoAAQAABAkQEABAgIcAIAKjCBAAAAAAAAAAAAQAAAgAAAAAQiACAAAEAAAAgUAAAAAAAEADAAAAAAoAAIAAQEAAAQIAAAAAAiAAgAQAAAAAgAAAAAAAAAAQAAAAAAAAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAAAAAAAAAECAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': '2025-04-20T17:24:41.426Z', 'IsServiceSpecific': False, 'LastUpdated': '2025-04-20T17:24:41.426Z', 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",
9039,https://sciencenews.org/,156.146.39.29,Texas,,,False,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
9084,https://trackwrestling.com/,156.146.39.29,Texas,DBACOe~CQQKjoAQQKjoAEXpEAENDDEgAAAAAEPgACiQAAANNgPAALAAcABUAC4AGQAOAAgABIADQAHwARQAmABSADQAH4AQgAjgBSgC3AGUAQcAiwBTwDXgHUAWEAvMBlgDLwGmgAAA~BQQKjoAQQKjoAEXpEAENDDCAAAAAAIfAAAAAA02A8AAsABwAFQALgAZAA4ACAAEgANAAfABFACYAFIANAAfgBCACOAFKALcAZQBBwCLAFPANeAdQBYQC8wGWAMvAaaA~1-Y-,"[2, 5, 6]",False,"{'data': {'applicableSections': [6], 'cmpDisplayStatus': 'hidden', 'cmpId': 279, 'cmpStatus': 'loaded', 'gppString': 'DBACOe~CQQKjoAQQKjoAEXpEAENDDEgAAAAAEPgACiQAAANNgPAALAAcABUAC4AGQAOAAgABIADQAHwARQAmABSADQAH4AQgAjgBSgC3AGUAQcAiwBTwDXgHUAWEAvMBlgDLwGmgAAA~BQQKjoAQQKjoAEXpEAENDDCAAAAAAIfAAAAAA02A8AAsABwAFQALgAZAA4ACAAEgANAAfABFACYAFIANAAfgBCACOAFKALcAZQBBwCLAFPANeAdQBYQC8wGWAMvAaaA~1-Y-', 'gppVersion': '1.1', 'parsedSections': {'tcfcav1': [{'CmpId': 279, 'CmpVersion': 2628, 'ConsentLanguage': 'EN', 'ConsentScreen': 0, 'Created': '2025-04-20T00:00:00.000Z', 'LastUpdated': '2025-04-20T00:00:00.000Z', 'PurposesExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False], 'PurposesImpliedConsent': [False, True, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'SpecialFeatureExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False], 'TcfPolicyVersion': 2, 'UseNonStandardTexts': False, 'VendorExpressConsent': [], 'VendorImpliedConsent': [11, 14, 21, 23, 25, 28, 32, 36, 52, 62, 69, 76, 82, 104, 126, 132, 142, 165, 183, 202, 263, 278, 335, 431, 468, 706, 755, 812, 815, 845], 'VendorListVersion': 195, 'Version': 1}], 'uspv1': [{'uspString': '1-Y-', 'version': 1}]}, 'sectionList': [2, 5, 6], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '6:uspv1']}, 'success': True}",
9102,https://iflscience.com/,156.146.39.29,Texas,,,False,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
9122,https://sd.rs/,156.146.39.29,Texas,DBABM~CQQLPkgQQLPkgAfQcBSRBmFsAP_gAEPgAAigKRpF9G7faWFjeDpzabsEcIUXx1hp4sAhAgCAE4gBiDKAcIQGFmAyIAygJCACABAAIBRAIQFsCAgQQUCAAIABABDIIAAAAAACIGAEAAEQQkAICAAJAAAgAAAQAABEAlAAgAABARIICIAAAAAAASAgAAAAAAABAQAIAAAAQAAAAAAAYAAAAAAAAAAAAAAAAABIEAAAAQAAAAAAAAAAAAAAAAAABAAAAIKEQPQAEAALAAdABQAFQALgAcAA8ACAAEgAKgAZQA0ADUAHgAPwAjgBMACqAF0AMQAaAA9AB-AEJAIgAiQBHACaAE4AKMAVoAwwBogDnAHdAPwA_QCEAEWAIxARwBHQCSgEpAM-Aa8A4gB2wD7AH_gR4BHoCZAFHgKlAWoAtgBcgC5gF5gMWAZOBG8COwEkgKEAAA,[2],False,"{'data': {'applicableSections': [2], 'cmpDisplayStatus': None, 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CQQLPkgQQLPkgAfQcBSRBmFsAP_gAEPgAAigKRpF9G7faWFjeDpzabsEcIUXx1hp4sAhAgCAE4gBiDKAcIQGFmAyIAygJCACABAAIBRAIQFsCAgQQUCAAIABABDIIAAAAAACIGAEAAEQQkAICAAJAAAgAAAQAABEAlAAgAABARIICIAAAAAAASAgAAAAAAABAQAIAAAAQAAAAAAAYAAAAAAAAAAAAAAAAABIEAAAAQAAAAAAAAAAAAAAAAAABAAAAIKEQPQAEAALAAdABQAFQALgAcAA8ACAAEgAKgAZQA0ADUAHgAPwAjgBMACqAF0AMQAaAA9AB-AEJAIgAiQBHACaAE4AKMAVoAwwBogDnAHdAPwA_QCEAEWAIxARwBHQCSgEpAM-Aa8A4gB2wD7AH_gR4BHoCZAFHgKlAWoAtgBcgC5gF5gMWAZOBG8COwEkgKEAAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': '2025-04-20T17:25:58.004Z', 'IsServiceSpecific': False, 'LastUpdated': '2025-04-20T17:25:58.004Z', 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",
9124,https://canal26.com/,156.146.39.29,Texas,DBABM~CQQLPkgQQLPkgAfCOBENBmFsAP_gAEPgAAigKRtX_G__bXlv-Tr36ftkeY1f99h77sQxBgbJs-4FzLvW_JwX32EzNEz6tqYKmRIAu3TBIQFtHJjURVChaogVrTDsYECUgTNKJ-BkiHMRY2dYCFxvmYtjeQCZ5vp_d1d52T-t7dr-3dzyy5hnv3a9f-S1WJidKYctHfv8bBKT-_Ie9_x-_4vw_N7pE2-eSVt_tWvt718u4tv_9_999_77_YAABAAAAIKEAEmGhUQRlkSAhEoGEECAFQVhARQIAgAASBogIATBgU5AwAXWEiAEAKAAYIAQAAgwABAAAJAAhEAFABQIAAIBAoAAAAABAIAGBgADABYCAQAAgOgYpgQQCBYAJGZFBpgSgAJBAS2VCCQBAgrhCEWeAQAIiYKAAAEAAoAAAB4LAYkkBKxIIAuIJoAACAAAIIEChFJ0YAggDNlqJwZPoytIAABAAA,[2],False,"{'data': {'applicableSections': [2], 'cmpDisplayStatus': None, 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CQQLPkgQQLPkgAfCOBENBmFsAP_gAEPgAAigKRtX_G__bXlv-Tr36ftkeY1f99h77sQxBgbJs-4FzLvW_JwX32EzNEz6tqYKmRIAu3TBIQFtHJjURVChaogVrTDsYECUgTNKJ-BkiHMRY2dYCFxvmYtjeQCZ5vp_d1d52T-t7dr-3dzyy5hnv3a9f-S1WJidKYctHfv8bBKT-_Ie9_x-_4vw_N7pE2-eSVt_tWvt718u4tv_9_999_77_YAABAAAAIKEAEmGhUQRlkSAhEoGEECAFQVhARQIAgAASBogIATBgU5AwAXWEiAEAKAAYIAQAAgwABAAAJAAhEAFABQIAAIBAoAAAAABAIAGBgADABYCAQAAgOgYpgQQCBYAJGZFBpgSgAJBAS2VCCQBAgrhCEWeAQAIiYKAAAEAAoAAAB4LAYkkBKxIIAuIJoAACAAAIIEChFJ0YAggDNlqJwZPoytIAABAAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': '2025-04-20T17:27:13.019Z', 'IsServiceSpecific': False, 'LastUpdated': '2025-04-20T17:27:13.019Z', 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",
9160,https://socialmediatoday.com/,156.146.39.29,Texas,DBACOe~CQQKjoAQQKjoAEXiKAENAkEwAP_gAEPgACiQF5wAwBSAH6AXmBecAIAPwC8wAAAA~BQQKjoAQQKjoAEXiKAENAkCgAf_AAIfAAAXnADAFIAfoBeYF5wAgA_ALzA~1-N-,"[2, 5, 6]",False,"{'data': {'applicableSections': [6], 'cmpDisplayStatus': 'hidden', 'cmpId': 279, 'cmpStatus': 'loaded', 'gppString': 'DBACOe~CQQKjoAQQKjoAEXiKAENAkEwAP_gAEPgACiQF5wAwBSAH6AXmBecAIAPwC8wAAAA~BQQKjoAQQKjoAEXiKAENAkCgAf_AAIfAAAXnADAFIAfoBeYF5wAgA_ALzA~1-N-', 'gppVersion': '1.1', 'parsedSections': {'tcfcav1': [{'CmpId': 279, 'CmpVersion': 2186, 'ConsentLanguage': 'EN', 'ConsentScreen': 0, 'Created': '2025-04-20T00:00:00.000Z', 'LastUpdated': '2025-04-20T00:00:00.000Z', 'PurposesExpressConsent': [True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'PurposesImpliedConsent': [False, True, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'SpecialFeatureExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False], 'TcfPolicyVersion': 2, 'UseNonStandardTexts': True, 'VendorExpressConsent': [164, 506, 755], 'VendorImpliedConsent': [126, 755], 'VendorListVersion': 36, 'Version': 1}], 'uspv1': [{'uspString': '1-N-', 'version': 1}]}, 'sectionList': [2, 5, 6], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '6:uspv1']}, 'success': True}",
9170,https://clickpetroleoegas.com.br/,156.146.39.29,Texas,,,False,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
9209,https://rynekzdrowia.pl/,156.146.39.29,Texas,DBABM~CQQLPkgQQLPkgAfAUBENBmFgAAAAAAAAAB5YAAAAAAAA,[2],False,"{'data': {'applicableSections': [0], 'cmpDisplayStatus': 'visible', 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CQQLPkgQQLPkgAfAUBENBmFgAAAAAAAAAB5YAAAAAAAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': '2025-04-20T17:27:58.070Z', 'IsServiceSpecific': False, 'LastUpdated': '2025-04-20T17:27:58.070Z', 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'not ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",
9223,https://router-network.com/,156.146.39.29,Texas,,,False,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
